,AD1_AD2,AD3_AD4,AD5_AD6,Ct1_Ct2,Ct3_Ct4,Ct5_Ct6
TNFRSF25,0.0625,0.00425531914893617,0.0070921985815602835,0.006024096385542169,0.021101992966002344,0.01911764705882353
NOL9,0.052083333333333336,0.0425531914893617,0.02127659574468085,0.04819277108433735,0.03634232121922626,0.03235294117647059
KLHL21,0.14583333333333334,0.08085106382978724,0.10638297872340426,0.04216867469879518,0.0668229777256741,0.054411764705882354
DNAJC11,0.020833333333333332,0.0425531914893617,0.04964539007092199,0.018072289156626505,0.04220398593200469,0.04411764705882353
CAMTA1,0.3958333333333333,0.8468085106382979,0.6524822695035462,0.6024096385542169,1.0046893317702228,0.6323529411764706
VAMP3,0.07291666666666667,0.02553191489361702,0.0070921985815602835,0.024096385542168676,0.023446658851113716,0.033823529411764704
PER3,0.09375,0.3702127659574468,0.20567375886524822,0.20481927710843373,0.3481828839390387,0.2691176470588235
PARK7,0.14583333333333334,0.08085106382978724,0.06382978723404255,0.10240963855421686,0.1652989449003517,0.1
ERRFI1,0.010416666666666666,0.0425531914893617,0.04964539007092199,0.030120481927710843,0.06565064478311841,0.041176470588235294
RERE,0.3020833333333333,0.6,0.3120567375886525,0.3674698795180723,0.7186400937866354,0.4661764705882353
ENO1,0.2916666666666667,0.3404255319148936,0.2907801418439716,0.3192771084337349,0.3798358733880422,0.3264705882352941
SLC2A5,0.010416666666666666,0.02553191489361702,0.014184397163120567,0.0,0.017584994138335287,0.016176470588235296
H6PD,0.041666666666666664,0.06382978723404255,0.04964539007092199,0.030120481927710843,0.053927315357561546,0.03676470588235294
SPSB1,0.0,0.01702127659574468,0.0070921985815602835,0.006024096385542169,0.007033997655334115,0.0058823529411764705
SLC25A33,0.052083333333333336,0.12340425531914893,0.07092198581560284,0.1144578313253012,0.2696365767878077,0.1161764705882353
TMEM201,0.010416666666666666,0.00425531914893617,0.0070921985815602835,0.006024096385542169,0.016412661195779603,0.013235294117647059
CLSTN1,0.3645833333333333,0.1276595744680851,0.19858156028368795,0.1686746987951807,0.16178194607268465,0.18088235294117647
CTNNBIP1,0.041666666666666664,0.06808510638297872,0.02127659574468085,0.030120481927710843,0.05041031652989449,0.047058823529411764
LZIC,0.052083333333333336,0.02127659574468085,0.03546099290780142,0.024096385542168676,0.022274325908558032,0.01911764705882353
NMNAT1,0.03125,0.029787234042553193,0.0,0.024096385542168676,0.02579132473622509,0.011764705882352941
RBP7,0.010416666666666666,0.03404255319148936,0.0,0.018072289156626505,0.0035169988276670576,0.004411764705882353
UBE4B,0.125,0.1702127659574468,0.09219858156028368,0.10240963855421686,0.16647127784290738,0.14705882352941177
KIF1B,0.5625,1.3574468085106384,0.5460992907801419,0.7710843373493976,1.1781946072684641,0.9338235294117647
PGD,0.041666666666666664,0.04680851063829787,0.0425531914893617,0.012048192771084338,0.02813599062133646,0.020588235294117647
DFFA,0.0,0.03404255319148936,0.02127659574468085,0.018072289156626505,0.03048065650644783,0.016176470588235296
PEX14,0.052083333333333336,0.10212765957446808,0.028368794326241134,0.10843373493975904,0.08558030480656506,0.08088235294117647
SRM,0.052083333333333336,0.05531914893617021,0.02127659574468085,0.024096385542168676,0.044548651817116064,0.039705882352941174
EXOSC10,0.07291666666666667,0.09361702127659574,0.07092198581560284,0.04216867469879518,0.09378663540445487,0.09558823529411764
RP4-635E18.7,0.03125,0.03829787234042553,0.02127659574468085,0.018072289156626505,0.04806565064478312,0.03676470588235294
MTOR,0.052083333333333336,0.08085106382978724,0.09219858156028368,0.05421686746987952,0.08675263774912075,0.08235294117647059
UBIAD1,0.0,0.03404255319148936,0.0,0.012048192771084338,0.01875732708089097,0.014705882352941176
PTCHD2,0.052083333333333336,0.03829787234042553,0.014184397163120567,0.04819277108433735,0.05158264947245018,0.04852941176470588
FBXO2,0.20833333333333334,0.3617021276595745,0.07801418439716312,0.23493975903614459,0.2790152403282532,0.21323529411764705
FBXO44,0.125,0.14893617021276595,0.05673758865248227,0.08433734939759036,0.09964830011723329,0.08676470588235294
MTHFR,0.0625,0.029787234042553193,0.014184397163120567,0.012048192771084338,0.023446658851113716,0.03235294117647059
CLCN6,0.010416666666666666,0.03829787234042553,0.02127659574468085,0.03614457831325301,0.044548651817116064,0.014705882352941176
KIAA2013,0.11458333333333333,0.029787234042553193,0.03546099290780142,0.024096385542168676,0.03399765533411489,0.039705882352941174
PLOD1,0.17708333333333334,0.02553191489361702,0.07092198581560284,0.04216867469879518,0.01992966002344666,0.013235294117647059
MFN2,0.03125,0.05106382978723404,0.028368794326241134,0.018072289156626505,0.04337631887456037,0.029411764705882353
MIIP,0.11458333333333333,0.0851063829787234,0.05673758865248227,0.030120481927710843,0.0492379835873388,0.058823529411764705
VPS13D,0.16666666666666666,0.3574468085106383,0.16312056737588654,0.0963855421686747,0.26260257913247365,0.15735294117647058
DHRS3,0.03125,0.1702127659574468,0.028368794326241134,0.09036144578313253,0.09730363423212192,0.11323529411764706
PRDM2,0.08333333333333333,0.10638297872340426,0.03546099290780142,0.07228915662650602,0.09378663540445487,0.08970588235294118
KAZN,0.14583333333333334,0.30638297872340425,0.18439716312056736,0.12048192771084337,0.33528722157092616,0.1411764705882353
